strategy,sizing,first_quote_ts,slug,side,target_cost,shares,entry_price,pnl_usd,bankroll_after
baseline_rule_drop10_down,fixed_10pct,2026-04-24 02:50:02+00:00,btc-updown-5m-1776999000,buy_down,10.0,10.75268817204301,0.93,0.6451612903225801,100.64516129032258
baseline_rule_drop10_down,fixed_10pct,2026-04-24 02:55:02+00:00,btc-updown-5m-1776999300,buy_down,10.064516129032258,13.978494623655914,0.72,3.774193548387097,104.41935483870968
baseline_rule_drop10_down,fixed_10pct,2026-04-24 03:15:01+00:00,btc-updown-5m-1777000500,buy_down,10.441935483870969,11.60215053763441,0.9,1.0441935483870968,105.46354838709678
baseline_rule_drop10_down,fixed_10pct,2026-04-24 03:20:01+00:00,btc-updown-5m-1777000800,buy_down,10.546354838709679,12.555184331797237,0.84,1.8832776497695858,107.34682603686636
baseline_rule_drop10_down,fixed_10pct,2026-04-24 03:30:01+00:00,btc-updown-5m-1777001400,buy_down,10.734682603686636,12.198502958734814,0.88,1.3418353254608295,108.6886613623272
baseline_rule_drop10_down,fixed_10pct,2026-04-24 03:40:01+00:00,btc-updown-5m-1777002000,buy_down,10.86886613623272,12.786901336744377,0.85,1.790166187144213,110.4788275494714
baseline_rule_drop10_down,fixed_10pct,2026-04-24 04:00:02+00:00,btc-updown-5m-1777003200,buy_down,11.04788275494714,14.536687835456764,0.76,3.3434382021550553,113.82226575162646
baseline_rule_drop10_down,fixed_10pct,2026-04-24 04:25:01+00:00,btc-updown-5m-1777004700,buy_down,11.382226575162647,12.371985407785486,0.92,0.8660389785449836,114.68830473017144
baseline_rule_drop10_down,fixed_10pct,2026-04-24 06:00:01+00:00,btc-updown-5m-1777010400,buy_down,11.468830473017144,15.710726675365951,0.73,4.084788935595148,118.77309366576658
baseline_rule_drop10_down,fixed_10pct,2026-04-24 06:20:02+00:00,btc-updown-5m-1777011600,buy_down,11.87730936657666,15.227319700739306,0.78,3.197737137155254,121.97083080292184
baseline_rule_drop10_down,fixed_10pct,2026-04-24 06:25:02+00:00,btc-updown-5m-1777011900,buy_down,12.197083080292185,13.860321682150209,0.88,1.524635385036523,123.49546618795836
baseline_rule_drop10_down,fixed_10pct,2026-04-24 06:30:01+00:00,btc-updown-5m-1777012200,buy_down,12.349546618795836,16.249403445783994,0.76,-12.512040653253676,110.98342553470468
baseline_rule_drop10_down,fixed_10pct,2026-04-24 06:35:01+00:00,btc-updown-5m-1777012500,buy_down,11.098342553470468,13.371497052374059,0.83,2.13943952837985,113.12286506308453
baseline_rule_drop10_down,fixed_10pct,2026-04-24 06:45:01+00:00,btc-updown-5m-1777013100,buy_down,11.312286506308453,20.948678715386023,0.54,-11.521773293462314,101.60109176962222
baseline_rule_drop10_down,fixed_10pct,2026-04-24 06:55:01+00:00,btc-updown-5m-1777013700,buy_down,10.160109176962223,14.514441681374604,0.7,4.209188087598636,105.81027985722085
baseline_rule_drop10_down,fixed_10pct,2026-04-24 07:30:01+00:00,btc-updown-5m-1777015800,buy_down,10.581027985722086,13.74159478665206,0.77,3.023150853063453,108.8334307102843
baseline_rule_drop10_down,fixed_10pct,2026-04-24 08:00:01+00:00,btc-updown-5m-1777017600,buy_down,10.883343071028431,14.134211780556404,0.77,3.1095265917224086,111.94295730200672
baseline_rule_drop10_down,fixed_10pct,2026-04-24 08:25:01+00:00,btc-updown-5m-1777019100,buy_down,11.194295730200672,14.351661192564963,0.78,3.0138488504386416,114.95680615244535
baseline_rule_drop10_down,fixed_10pct,2026-04-24 08:30:01+00:00,btc-updown-5m-1777019400,buy_down,11.495680615244536,15.534703534114238,0.74,3.8836758835285594,118.8404820359739
