strategy,sizing,first_quote_ts,slug,side,target_cost,shares,entry_price,pnl_usd,bankroll_after
classic_trend_down_basic,fixed_10pct,2026-04-26 05:35:01+00:00,btc-updown-5m-1777181700,buy_down,10.0,11.627906976744185,0.86,1.5116279069767442,101.51162790697674
classic_trend_down_basic,fixed_10pct,2026-04-26 05:45:02+00:00,btc-updown-5m-1777182300,buy_down,10.151162790697676,11.405800888424354,0.89,-10.265220799581918,91.24640710739482
classic_trend_down_basic,fixed_10pct,2026-04-26 05:50:01+00:00,btc-updown-5m-1777182600,buy_down,5.7205,6.73,0.85,0.9422000000000001,92.18860710739482
classic_trend_down_basic,fixed_10pct,2026-04-26 06:05:01+00:00,btc-updown-5m-1777183500,buy_down,9.218860710739483,12.628576316081483,0.73,3.2834298421811856,95.47203694957601
classic_trend_down_basic,fixed_10pct,2026-04-26 06:15:00+00:00,btc-updown-5m-1777184100,buy_down,9.5472036949576,13.638862421368001,0.7,3.955270102196721,99.42730705177273
classic_trend_down_basic,fixed_10pct,2026-04-26 06:50:01+00:00,btc-updown-5m-1777186200,buy_down,9.942730705177274,13.082540401549045,0.76,-10.073556109192765,89.35375094257996
classic_trend_down_basic,fixed_10pct,2026-04-26 07:25:02+00:00,btc-updown-5m-1777188300,buy_down,8.935375094257997,12.240239855147943,0.73,3.182462362338465,92.53621330491843
classic_trend_down_basic,fixed_10pct,2026-04-26 07:30:01+00:00,btc-updown-5m-1777188600,buy_down,9.253621330491844,11.86361709037416,0.78,2.491359588978573,95.027572893897
classic_trend_down_basic,fixed_10pct,2026-04-26 08:15:01+00:00,btc-updown-5m-1777191300,buy_down,9.5027572893897,11.312806296892502,0.84,1.6969209445338755,96.72449383843087
classic_trend_down_basic,fixed_10pct,2026-04-26 08:40:01+00:00,btc-updown-5m-1777192800,buy_down,9.672449383843087,10.513531938959877,0.92,0.735947235727191,97.46044107415807
classic_trend_down_basic,fixed_10pct,2026-04-26 08:45:01+00:00,btc-updown-5m-1777193100,buy_down,9.746044107415807,13.922920153451154,0.7,4.037646844500835,101.49808791865891
classic_trend_down_basic,fixed_10pct,2026-04-26 08:55:01+00:00,btc-updown-5m-1777193700,buy_down,10.149808791865892,14.499726845522703,0.7,4.204920785201584,105.70300870386049
classic_trend_down_basic,fixed_10pct,2026-04-26 09:30:00+00:00,btc-updown-5m-1777195800,buy_down,10.570300870386049,12.011705534529602,0.88,1.3212876087982561,107.02429631265875
classic_trend_down_basic,fixed_10pct,2026-04-26 09:45:01+00:00,btc-updown-5m-1777196700,buy_down,10.702429631265876,14.269906175021168,0.75,3.42477748200508,110.44907379466383
classic_trend_down_basic,fixed_10pct,2026-04-26 10:00:01+00:00,btc-updown-5m-1777197600,buy_down,11.044907379466384,12.551031113029982,0.88,1.380613422433298,111.82968721709713
classic_trend_down_basic,fixed_10pct,2026-04-26 10:25:00+00:00,btc-updown-5m-1777199100,buy_down,11.182968721709713,13.806134224332979,0.81,2.4851041603799353,114.31479137747706
classic_trend_down_basic,fixed_10pct,2026-04-26 10:30:01+00:00,btc-updown-5m-1777199400,buy_down,11.431479137747708,13.940828216765498,0.82,-11.570887419915362,102.7439039575617
classic_trend_down_basic,fixed_10pct,2026-04-26 10:40:02+00:00,btc-updown-5m-1777200000,buy_down,10.274390395756171,14.26998666077246,0.72,3.8528963984085647,106.59680035597026
classic_trend_down_basic,fixed_10pct,2026-04-26 11:15:01+00:00,btc-updown-5m-1777202100,buy_down,10.659680035597027,13.843740305970165,0.77,3.045622867313436,109.6424232232837
classic_trend_down_basic,fixed_10pct,2026-04-26 11:30:01+00:00,btc-updown-5m-1777203000,buy_down,4.2529,5.990000000000001,0.71,1.6772000000000005,111.3196232232837
classic_trend_down_basic,fixed_10pct,2026-04-26 11:35:02+00:00,btc-updown-5m-1777203300,buy_down,11.13196232232837,13.74316336089922,0.81,2.473769404961859,113.79339262824556
classic_trend_down_basic,fixed_10pct,2026-04-26 11:45:01+00:00,btc-updown-5m-1777203900,buy_down,11.379339262824557,14.588896490800714,0.78,-11.525228227732564,102.26816440051299
classic_trend_down_basic,fixed_10pct,2026-04-26 12:10:01+00:00,btc-updown-5m-1777205400,buy_down,10.2268164400513,11.621382318240114,0.88,1.2783520550064125,103.5465164555194
classic_trend_down_basic,fixed_10pct,2026-04-26 12:40:01+00:00,btc-updown-5m-1777207200,buy_down,10.35465164555194,12.943314556939924,0.8,2.459229765818585,106.00574622133799
classic_trend_down_basic,fixed_10pct,2026-04-26 13:20:01+00:00,btc-updown-5m-1777209600,buy_down,10.600574622133799,16.308576341744306,0.65,5.544915956193064,111.55066217753105
classic_trend_down_basic,fixed_10pct,2026-04-26 13:35:01+00:00,btc-updown-5m-1777210500,buy_down,11.155066217753106,15.280912627059049,0.73,-11.307875344023696,100.24278683350735
classic_trend_down_basic,fixed_10pct,2026-04-26 13:40:01+00:00,btc-updown-5m-1777210800,buy_down,10.024278683350737,13.018543744611346,0.77,2.864079623814496,103.10686645732184
classic_trend_down_basic,fixed_10pct,2026-04-26 13:45:01+00:00,btc-updown-5m-1777211100,buy_down,10.310686645732185,11.989170518293237,0.86,1.558592167378121,104.66545862469997
classic_trend_down_basic,fixed_10pct,2026-04-26 13:55:00+00:00,btc-updown-5m-1777211700,buy_down,10.466545862469998,17.739908241474573,0.59,-10.643944944884744,94.02151367981523
classic_trend_down_basic,fixed_10pct,2026-04-26 14:00:02+00:00,btc-updown-5m-1777212000,buy_down,9.402151367981523,10.219729747806003,0.92,0.7153810823464198,94.73689476216165
classic_trend_down_basic,fixed_10pct,2026-04-26 14:05:01+00:00,btc-updown-5m-1777212300,buy_down,9.473689476216165,10.186762877651791,0.93,-9.575557104992685,85.16133765716897
classic_trend_down_basic,fixed_10pct,2026-04-26 14:10:01+00:00,btc-updown-5m-1777212600,buy_down,8.516133765716898,11.665936665365614,0.73,-8.632793132370553,76.52854452479842
classic_trend_down_basic,fixed_10pct,2026-04-26 14:15:01+00:00,btc-updown-5m-1777212900,buy_down,7.6528544524798425,9.811351862153645,0.78,-7.75096797110138,68.77757655369705
classic_trend_down_basic,fixed_10pct,2026-04-26 14:30:01+00:00,btc-updown-5m-1777213800,buy_down,6.877757655369705,9.82536807909958,0.7,2.849356742938878,71.62693329663593
classic_trend_down_basic,fixed_10pct,2026-04-26 14:35:01+00:00,btc-updown-5m-1777214100,buy_down,7.162693329663593,9.948185180088325,0.72,-7.262175181464477,64.36475811517145
